"","x"
"1",-3.47376807449699
"2",-3.43770419417989
"3",-3.49048398614478
"4",-3.47822882587721
"5",-3.46265588211012
"6",-3.44963423216536
"7",-3.53567618949672
"8",-3.51159988314691
"9",-3.51211464658704
"10",-3.47500166799975
"11",-3.49280469242227
"12",-3.4815066057045
"13",-3.50769601088661
"14",-3.52951762866544
"15",-3.47127205213292
"16",-3.54538970684843
"17",-3.51027690166012
"18",-3.48554329935819
"19",-3.5499379170484
"20",-3.56278451035482
"21",-3.53735837111295
"22",-3.49957575732566
"23",-3.49334714387139
"24",-3.44852527191467
"25",-3.52228111856394
"26",-3.56193477141322
"27",-3.48977028714543
"28",-3.56922692000841
"29",-3.53653464760727
"30",-3.50111293077889
"31",-3.56511433539601
"32",-3.52096657013492
"33",-3.43472350448056
"34",-3.54315805402815
"35",-3.53502874291792
"36",-3.51586593516771
"37",-3.48995176350624
"38",-3.59107984520899
"39",-3.48555836363965
"40",-3.58358358542671
"41",-3.49141482808675
"42",-3.57128102112849
"43",-3.53055501744818
"44",-3.4345748478305
"45",-3.42488783348729
"46",-3.51994962905685
"47",-3.45041859819141
"48",-3.44910266004816
"49",-3.46876784487062
"50",-3.44036149188044
"51",-3.45118127304357
"52",-3.51321769140061
"53",-3.52347246514862
"54",-3.51071566592607
"55",-3.45735285655977
"56",-3.52707072046556
"57",-3.53094018197778
"58",-3.43273160589859
"59",-3.48041277429463
"60",-3.48172794428033
"61",-3.45865830495533
"62",-3.4975840644008
"63",-3.50049798528262
"64",-3.43097133437995
"65",-3.47982967833765
"66",-3.47407700691732
"67",-3.43912978192005
"68",-3.43299040003333
"69",-3.48464301924773
"70",-3.46294415436419
"71",-3.48029892242426
"72",-3.4765049792452
"73",-3.47816277382252
"74",-3.54264755339029
"75",-3.51228312176713
"76",-3.53661288794927
"77",-3.4682535304634
"78",-3.49216100164857
"79",-3.50494538361142
"80",-3.49254267318353
"81",-3.4518631524568
"82",-3.50934298104572
"83",-3.52173985071566
"84",-3.45582929619094
"85",-3.42980034406042
"86",-3.46620712236659
"87",-3.49534018302555
"88",-3.5074805320347
"89",-3.54050870706399
"90",-3.47504974626789
"91",-3.56160089975139
"92",-3.53336793241639
"93",-3.51313293281659
"94",-3.53709639495675
"95",-3.44644248541164
"96",-3.51550595173426
"97",-3.47266505376889
"98",-3.54142928408897
"99",-3.47594311992334
"100",-3.55013638782889
"101",-3.50527435069994
"102",-3.46787083885489
"103",-3.46817453408939
"104",-3.52140500022388
"105",-3.49767434468312
"106",-3.46390510056853
"107",-3.52203066271156
"108",-3.49569509158097
"109",-3.43276841413974
"110",-3.4897378233256
"111",-3.49041814452188
"112",-3.49212725710211
"113",-3.51336133106874
"114",-3.46284870372413
"115",-3.48612514071584
"116",-3.48018216506563
"117",-3.53933536846115
"118",-3.44840703300109
"119",-3.56366570758447
"120",-3.51158940664144
"121",-3.50896017055892
"122",-3.53857949049715
"123",-3.5001450905578
"124",-3.48082477999814
"125",-3.5408160311247
"126",-3.47034630382136
"127",-3.54216604408306
"128",-3.44430885635036
"129",-3.44550215217788
"130",-3.48731465794852
"131",-3.52035558663308
"132",-3.49811326186241
"133",-3.48743781559039
"134",-3.52821699574181
"135",-3.52149207601134
"136",-3.48284279359834
"137",-3.48666755524142
"138",-3.50071851524363
"139",-3.42857039669789
"140",-3.4652077267546
"141",-3.52441103451704
"142",-3.51796584664465
"143",-3.49402611435879
"144",-3.45884760688691
"145",-3.51758422113975
"146",-3.55279184347749
"147",-3.49295663680454
"148",-3.53478349435457
"149",-3.49682589939795
"150",-3.46697023252151
"151",-3.49900691201033
"152",-3.46661096891448
"153",-3.49716145299224
"154",-3.47997745161865
"155",-3.54901175036669
"156",-3.44657702460888
"157",-3.50775362247098
"158",-3.45405281601572
"159",-3.53812327889599
"160",-3.52149891893737
"161",-3.51607107855664
"162",-3.50938587609097
"163",-3.49982250640099
"164",-3.45698910430407
"165",-3.48622692404524
"166",-3.54700162548964
"167",-3.50446510302478
"168",-3.57203413426643
"169",-3.49069830680403
"170",-3.43280619018873
"171",-3.50755183956314
"172",-3.52323697021245
"173",-3.5173629378972
"174",-3.49103522497432
"175",-3.49812188171475
"176",-3.51701320496358
"177",-3.48073051058305
"178",-3.51460845338669
"179",-3.48590978735958
"180",-3.52745729167393
"181",-3.48895613648864
"182",-3.51537796953748
"183",-3.49997294716965
"184",-3.54530693017559
"185",-3.53649147841961
"186",-3.51277279545847
"187",-3.50444559612752
"188",-3.54270769238344
"189",-3.5184890823326
"190",-3.52383034941724
"191",-3.54112495238438
"192",-3.58941225537619
"193",-3.55034965630215
"194",-3.50309598941908
"195",-3.41531823386293
"196",-3.53267763070109
"197",-3.46970182440986
"198",-3.45221318967156
"199",-3.53406774422629
"200",-3.50849859146522
"201",-3.49329126710053
"202",-3.57602625407548
"203",-3.50009210012357
"204",-3.54291488964935
"205",-3.50621135688642
"206",-3.46412629423983
"207",-3.47050234385254
"208",-3.4282579634024
"209",-3.53622640522049
"210",-3.42692879408818
"211",-3.47013992615304
"212",-3.41926917405845
"213",-3.46698425917495
"214",-3.48317017617325
"215",-3.45677283209939
"216",-3.4791820148393
"217",-3.48396681595026
"218",-3.47998709057217
"219",-3.50312317487689
"220",-3.50344456475344
"221",-3.47592626413285
"222",-3.51476603219784
"223",-3.53361401366702
"224",-3.44939979917395
"225",-3.50511216855811
"226",-3.55405729782452
"227",-3.50251565863293
"228",-3.49731228136207
"229",-3.49407340067242
"230",-3.52696936415802
"231",-3.48837834909222
"232",-3.50455159095405
"233",-3.49384349092689
"234",-3.56087206809436
"235",-3.49065545278195
"236",-3.48647311823913
"237",-3.47346327680414
"238",-3.49778248733444
"239",-3.50042989526636
"240",-3.45408309387234
"241",-3.5324716712645
"242",-3.47026072628565
"243",-3.50532692734999
"244",-3.52704482991576
"245",-3.53214844764032
"246",-3.4716202245333
"247",-3.41693125063309
"248",-3.5355575165753
"249",-3.53487251969689
"250",-3.47656366157319
"251",-3.49318061296682
"252",-3.50683423930206
"253",-3.4917536497076
"254",-3.51314382748286
"255",-3.5282983399877
"256",-3.4637063183753
"257",-3.47194299829812
"258",-3.49219367178493
"259",-3.49423217382243
"260",-3.54395583540547
"261",-3.50101307538844
"262",-3.43866827145339
"263",-3.45323997095387
"264",-3.45405709613399
"265",-3.44657089615588
"266",-3.47813768908306
"267",-3.57476388187014
"268",-3.49382763975669
"269",-3.51381160033563
"270",-3.4781403046054
"271",-3.57011006878541
"272",-3.49612089739653
"273",-3.5013787675402
"274",-3.54024717738043
"275",-3.51096775917851
"276",-3.52842612068411
"277",-3.55034494444908
"278",-3.51314649597262
"279",-3.55654988425624
"280",-3.47059083555635
"281",-3.46475474444381
"282",-3.54234859105089
"283",-3.48888526680171
"284",-3.49322839882945
"285",-3.50986627046839
"286",-3.51176747345239
"287",-3.54966564042898
"288",-3.51236679239005
"289",-3.44935859775425
"290",-3.48726334081891
"291",-3.51309829692894
"292",-3.59695747037905
"293",-3.46290604659871
"294",-3.54017207353344
"295",-3.54658129393397
"296",-3.52227162144436
"297",-3.4966478015937
"298",-3.53740053073593
"299",-3.47489637851108
"300",-3.48450136020299
"301",-3.51848325020185
"302",-3.52413951260117
"303",-3.52904627469006
"304",-3.51452884795413
"305",-3.4941544387133
"306",-3.46529020534539
"307",-3.5387228659279
"308",-3.50203412228802
"309",-3.47800231513975
"310",-3.55637467028249
"311",-3.47191839517581
"312",-3.49641314282276
"313",-3.57676802117959
"314",-3.46329317540965
"315",-3.53433228808838
"316",-3.45329240670062
"317",-3.55692255203861
"318",-3.51783262130709
"319",-3.51379218094333
"320",-3.49780564223594
"321",-3.51288548303329
"322",-3.58021068748877
"323",-3.52279893853061
"324",-3.4909995806565
"325",-3.55033247244037
"326",-3.49946456928801
"327",-3.47857292130673
"328",-3.47072474808694
"329",-3.48218393848661
"330",-3.49010690675917
