"","x"
"1",-1.77195684193188
"2",-1.04977259092471
"3",-1.15712837875152
"4",-1.17728377022745
"5",-1.15531850995244
"6",-1.19685847037606
"7",-1.21180756422549
"8",-1.20457136679306
"9",-1.20370725364001
"10",-1.19628564626842
"11",-1.23449921030412
"12",-1.25144920550704
"13",-1.22061935250816
"14",-1.25648512336531
"15",-1.26755816975868
"16",-1.28920300379884
"17",-1.29830105941918
"18",-1.29547798847994
"19",-1.35524319312663
"20",-1.36066059327162
"21",-1.33361263677854
"22",-1.31997135507836
"23",-1.34959786579141
"24",-1.36117085040432
"25",-1.37878819758849
"26",-1.32148006183665
"27",-1.35754666049178
"28",-1.36278284465612
"29",-1.34539448531328
"30",-1.35962205714451
"31",-1.34098599657464
"32",-1.38937327958672
"33",-1.4078644570957
"34",-1.38204254281454
"35",-1.39474253601674
"36",-1.453978980844
"37",-1.43261003130521
"38",-1.44078164104517
"39",-1.42732910372174
"40",-1.42182971109341
"41",-1.49022520013769
"42",-1.46751882405101
"43",-1.45930716083402
"44",-1.4637521240452
"45",-1.45089228972059
"46",-1.56483511206673
"47",-1.47315576189948
"48",-1.44919938437925
"49",-1.42958618532731
"50",-1.44398426394203
"51",-1.55295500292425
"52",-1.50224544790242
"53",-1.57817087702278
"54",-1.53576869084987
"55",-1.51065472983305
"56",-1.57434581290013
"57",-1.50030767731205
"58",-1.50996543723857
"59",-1.60627447446928
"60",-1.72985867617952
"61",-1.53999032304743
"62",-1.55413791826917
"63",-1.59439794930588
"64",-1.6214064823378
"65",-1.52395194401802
"66",-1.49088664785331
"67",-1.57334402540366
"68",-1.5534258003773
"69",-1.63004880214634
"70",-1.55685416809383
"71",-1.55844877359612
"72",-1.74129815894472
"73",-1.58426806535668
"74",-1.65650444514919
"75",-1.58303552950204
"76",-1.57720934131744
"77",-1.62335484013498
"78",-1.70285013091379
"79",-1.78722862868464
"80",-1.68587390093275
"81",-1.57475222430774
"82",-1.59394284707783
"83",-1.5199921213039
"84",-1.50201017360502
"85",-1.54382703922256
"86",-1.55876085184722
"87",-1.61715881558851
"88",-1.64764134507801
"89",-1.58634393584248
"90",-1.57416621365592
"91",-1.67118088780802
"92",-1.68187423494906
