"","x"
"1",-2.20727491318972
"2",-0.00528509658736414
"3",-0.010459732714278
"4",-0.0264407113116986
"5",-0.0163602984591046
"6",0.00505594625742722
"7",0.00201321527499846
"8",0.00593745325158131
"9",-0.0177604675666665
"10",-0.0134367208004417
"11",-0.00797111997819185
"12",0.0348568521180069
"13",-0.0103463866406555
"14",-0.0111631944979784
"15",-0.0200702484007946
"16",0.00241754428504718
"17",-0.00909713673721048
"18",0.0227621947938752
"19",-0.0231534089390735
"20",0.0184859244244403
"21",-0.00383337822312468
"22",-0.0123202531337825
"23",0.0089204629216055
"24",0.00336593945076517
"25",-0.0238962959365439
"26",0.028442868153875
"27",0.0106382150749958
"28",0.0350030726362916
"29",0.000563885983104305
"30",0.0372231470615345
"31",0.029507078126978
"32",0.00897384492942746
"33",0.0199132466308699
"34",0.00995385562916959
"35",-0.0268632364150639
"36",-0.0641800211039864
"37",-0.0530138065926651
"38",0.0139802077554064
"39",0.0178601409521605
"40",-0.041610994718718
"41",-0.00374388309260616
"42",-0.0562091895167483
"43",-0.0119773503316789
"44",0.00655309916759013
"45",-0.043144598220973
"46",-0.0773608806250732
"47",-0.0118557559154491
"48",-0.0710471412931732
"49",-0.0683284916803498
"50",-0.101447294946829
"51",-0.0547773009125575
"52",-0.0664056629638455
"53",-0.0552241193409108
"54",-0.0782738193414755
"55",-0.0485186630979402
"56",-0.0667782333775262
"57",-0.0676155197826563
"58",-0.0903821952394277
"59",-0.0513387596294404
"60",-0.0948162577447996
"61",-0.0803381422271511
"62",-0.0976269121078505
"63",-0.0923849145030636
"64",-0.0955020871142178
"65",-0.086045966801477
"66",-0.126046105802289
"67",-0.152454127569071
"68",-0.130461439950505
"69",-0.117857960309654
"70",-0.111161327222034
"71",-0.154754553159281
"72",-0.111701675274149
"73",-0.150670940458164
"74",-0.129599414782938
"75",-0.130252619885123
"76",-0.213453221185348
"77",-0.17274236441319
"78",-0.181552428676775
"79",-0.152904441273816
"80",-0.199144044994985
"81",-0.163406461545692
"82",-0.153646186953695
"83",-0.134623725963589
"84",-0.135138123079258
"85",-0.20784744641842
"86",-0.198898477048661
"87",-0.162012279806841
"88",-0.153577241564218
"89",-0.202355546257168
"90",-0.190082977039143
"91",-0.201131760904655
"92",-0.227572741016111
"93",-0.200344459411068
"94",-0.246616622846405
"95",-0.264474945632841
"96",-0.291795829716046
"97",-0.256472793712176
"98",-0.271508147438767
"99",-0.274443702331003
"100",-0.221415441269623
"101",-0.278560163642979
"102",-0.280429782281545
"103",-0.290261721538191
"104",-0.317704974678583
"105",-0.275238235717308
"106",-0.232803266842214
"107",-0.325968361160137
"108",-0.345972268580738
"109",-0.325562146423244
"110",-0.36429535690652
"111",-0.330171398216724
"112",-0.310536650628927
"113",-0.392952939065993
"114",-0.344188437787268
"115",-0.335517442067547
"116",-0.404772118283641
"117",-0.379654074492516
"118",-0.398100257501928
"119",-0.401323488264393
"120",-0.392325242517328
"121",-0.434346969772613
"122",-0.415527049508089
"123",-0.455093486682488
"124",-0.445489577909351
"125",-0.44672847866089
"126",-0.437740169189098
"127",-0.471351410460435
"128",-0.438896383314845
"129",-0.481129324456763
"130",-0.471687193393224
"131",-0.438852688456939
"132",-0.447322512885424
"133",-0.515998877216593
"134",-0.486155076658403
"135",-0.432965170498888
"136",-0.467234373276166
"137",-0.495844704459422
"138",-0.499929954139113
