"","x"
"1",-1.27296567581289
"2",-1.30109094841839
"3",-1.15836423868099
"4",-1.18770060665255
"5",-1.16491149786123
"6",-1.18231374956829
"7",-1.18167437002353
"8",-1.13583333032027
"9",-1.19536855485926
"10",-1.15477746406015
"11",-1.19238412554663
"12",-1.17158674480449
"13",-1.15124619439618
"14",-1.16344975025255
"15",-1.11056761700479
"16",-1.13724940228318
"17",-1.14610201600306
"18",-1.17037212846866
"19",-1.14497327195786
"20",-1.15867723433727
"21",-1.10440871598134
"22",-1.14216513062214
"23",-1.15986616066951
"24",-1.17890315000036
"25",-1.14759141793735
"26",-1.15122266628308
"27",-1.16090954233271
"28",-1.13140607103351
"29",-1.1607321820281
"30",-1.16891397342077
"31",-1.13541990455496
"32",-1.13166984312422
"33",-1.16544020672612
"34",-1.1080117080157
"35",-1.16771601374954
"36",-1.14591989389535
"37",-1.18699755419783
"38",-1.15596790676139
"39",-1.18637662892497
"40",-1.17461399496608
"41",-1.22677809477656
"42",-1.16563824185705
"43",-1.18492211133815
"44",-1.19093208382904
"45",-1.15823547460024
"46",-1.19665124776524
"47",-1.20042499838441
"48",-1.16210994284419
"49",-1.07741112097321
"50",-1.19431288456791
"51",-1.18344316175706
"52",-1.15403681347594
"53",-1.15143661895274
"54",-1.16814305976992
"55",-1.19252954804275
"56",-1.22744493547558
"57",-1.21990958798438
"58",-1.20071993915166
"59",-1.19289043488099
"60",-1.18848424915074
"61",-1.18023368955816
"62",-1.24110866706108
"63",-1.19498998289707
"64",-1.2377802305134
"65",-1.18129939966823
"66",-1.22859187969239
"67",-1.23314716259548
"68",-1.22561542404768
"69",-1.19643503813269
"70",-1.24699140209615
"71",-1.16324124084448
"72",-1.16747805486224
"73",-1.1522845273193
"74",-1.29384461538673
"75",-1.24038033228952
"76",-1.28336052505505
"77",-1.1667923493684
"78",-1.26025983729697
"79",-1.2786714802866
"80",-1.25589570283213
"81",-1.21734029762646
"82",-1.245387562914
"83",-1.18703173436831
"84",-1.22452655787476
"85",-1.15590907972408
"86",-1.26915138233489
"87",-1.25107160509358
"88",-1.21412060315162
"89",-1.2333423476273
"90",-1.19012654097577
"91",-1.20341273708669
"92",-1.21411269346154
"93",-1.22560893647235
"94",-1.20158140419491
"95",-1.22804251660683
"96",-1.26138264184743
"97",-1.22355115994502
"98",-1.30205980521229
"99",-1.24373812918385
"100",-1.24283640929334
"101",-1.25442797452528
"102",-1.24744917201746
"103",-1.26078032506193
"104",-1.31818110494018
"105",-1.27359798664406
"106",-1.2459208946272
"107",-1.23122326979171
"108",-1.32251087227061
"109",-1.29633955345727
"110",-1.26095924950451
"111",-1.30516999532832
"112",-1.24323539858225
"113",-1.35036187196684
"114",-1.20884558590616
"115",-1.2711232997305
"116",-1.26115735827043
"117",-1.30526467411856
"118",-1.30199398809127
"119",-1.27067179671461
"120",-1.22671140040772
"121",-1.29306944134341
"122",-1.33077792263073
"123",-1.28246731826342
"124",-1.29244494703239
"125",-1.26943863426797
"126",-1.2837893662117
"127",-1.27283532621941
"128",-1.33949891360588
"129",-1.29789446871026
"130",-1.29912819352319
"131",-1.24716525873471
"132",-1.27062773569985
"133",-1.32044371801414
"134",-1.34607266482668
"135",-1.26104903746833
"136",-1.31823365156253
"137",-1.18138468727455
"138",-1.33416992545959
"139",-1.36657432259408
"140",-1.26717906057258
"141",-1.270785205091
"142",-1.32034590198482
"143",-1.29688633466949
"144",-1.26839083918938
"145",-1.14318052446231
"146",-1.3163268241349
"147",-1.26810692897251
"148",-1.21739504138075
"149",-1.19511397328896
"150",-1.30378368185766
"151",-1.26249730620015
"152",-1.24627172287518
"153",-1.25578453118028
"154",-1.26161418962026
"155",-1.23811892829955
"156",-1.19711008522011
"157",-1.23024595749852
"158",-1.26394265860254
"159",-1.23530535249893
"160",-1.35230243622694
"161",-1.2878082418624
"162",-1.26546052787285
"163",-1.29807122613128
"164",-1.28096190242795
"165",-1.3038711267745
"166",-1.2130797599297
"167",-1.31648607303259
"168",-1.34056443189063
"169",-1.25653043719446
"170",-1.27518840139393
"171",-1.25098243509009
"172",-1.30904111071672
"173",-1.22082267107779
"174",-1.20094167714351
"175",-1.30611427707642
"176",-1.35596890450476
"177",-1.29208930494883
"178",-1.35696692753425
"179",-1.32790698935552
"180",-1.32008626092503
"181",-1.38105345910212
"182",-1.28605391471501
"183",-1.28168481712793
"184",-1.32853922333211
"185",-1.36013061197565
"186",-1.34433574486217
"187",-1.30855055875329
"188",-1.3673272115927
"189",-1.34922017945868
"190",-1.31391375969534
"191",-1.42842346667755
"192",-1.40097022786442
"193",-1.38705055394113
"194",-1.39716442702853
"195",-1.38120583491063
"196",-1.31313402210401
"197",-1.33700434301174
"198",-1.35319843227236
"199",-1.3519585875088
"200",-1.39905395785381
"201",-1.34624125842594
"202",-1.46914642316739
"203",-1.1639068096899
"204",-1.47904406366815
"205",-1.29435137319802
"206",-1.28647676251372
"207",-1.31466532977039
"208",-1.34830267284263
