"","x"
"1",-1.89711998488588
"2",0.000992226774049702
"3",-0.01913397219962
"4",-0.0120748595781207
"5",-0.0226882810024785
"6",-0.0207344842193782
"7",-0.0327317770335999
"8",-0.0201379242701577
"9",-0.00505134692932203
"10",-0.0225464277495497
"11",-0.0166178472643393
"12",-0.0401302914293112
"13",-0.0441453233815827
"14",-0.0196953049753155
"15",-0.0272113221151382
"16",-0.0177827862884601
"17",-0.0175913071464529
"18",-0.0491306733473591
"19",-0.0454711171303483
"20",-0.0421930596888823
"21",-0.0406917607981021
"22",-0.0600871275931927
"23",-0.0815944103895984
"24",-0.0887877323969319
"25",-0.0750993161379074
"26",-0.0923931645036609
"27",-0.0716778913042286
"28",-0.0788188057593498
"29",-0.102520972457358
"30",-0.130397417798989
"31",-0.118174980148611
"32",-0.109185887352894
"33",-0.127927380133731
"34",-0.133873904188614
"35",-0.139339838784889
"36",-0.126445643025622
"37",-0.154429386544948
"38",-0.151507311164833
"39",-0.176002645978497
"40",-0.152281011684503
"41",-0.162598476735609
"42",-0.169789702466103
"43",-0.172904429012192
"44",-0.17139743496962
"45",-0.17797185427636
"46",-0.166797928876623
"47",-0.175977116267059
"48",-0.197105230884858
"49",-0.179045404485296
"50",-0.215201522033291
"51",-0.199958399833728
"52",-0.19700283740681
"53",-0.222846328613711
"54",-0.211576385890388
"55",-0.223674981300261
"56",-0.241707503907198
"57",-0.238197258295469
"58",-0.230047516546903
"59",-0.214683120738342
"60",-0.237917728139568
"61",-0.198306744475504
"62",-0.228089497381221
"63",-0.237608594788824
"64",-0.235421581512032
"65",-0.217752522303702
"66",-0.204545342575888
"67",-0.239621477402197
"68",-0.241608931359576
"69",-0.251869081686578
"70",-0.25817730692732
"71",-0.272486311134593
"72",-0.26754209716283
"73",-0.258214101655084
"74",-0.274622246459502
"75",-0.294225654338693
"76",-0.285536914775474
"77",-0.311786199688184
"78",-0.298396476850516
"79",-0.29838997191874
"80",-0.323112628074296
"81",-0.323529814247913
"82",-0.336236478220723
"83",-0.337749609287598
"84",-0.371041769268646
"85",-0.367438175843109
"86",-0.360209130505982
"87",-0.366376385907759
"88",-0.382545725188506
"89",-0.367413628415919
"90",-0.364942675159245
"91",-0.378278019411993
"92",-0.383442520043701
"93",-0.375040339745772
"94",-0.384965427049467
"95",-0.363302443974651
"96",-0.367720311671965
"97",-0.373313106584833
"98",-0.371749954073156
"99",-0.375701312231117
"100",-0.381747061148859
"101",-0.372907365744649
"102",-0.385234558458583
"103",-0.371962056350431
"104",-0.393469491018137
"105",-0.404238335130298
"106",-0.40693739320121
"107",-0.423302244114087
"108",-0.419407408205335
"109",-0.418884273992925
"110",-0.434894326348802
"111",-0.425068243463403
"112",-0.415564304421073
"113",-0.410463272809304
"114",-0.422204927446235
"115",-0.417747878660263
"116",-0.43038279768658
"117",-0.441914508696119
"118",-0.425110494481452
"119",-0.424924462440439
"120",-0.42965586579353
"121",-0.421111352801977
"122",-0.430093744520895
"123",-0.426482939927974
"124",-0.434747644319279
"125",-0.43352355745057
"126",-0.431440832037553
"127",-0.432198782841806
"128",-0.428528182145316
"129",-0.446659954098406
"130",-0.442363886378573
"131",-0.436235652700765
"132",-0.431668682080942
"133",-0.431676451984752
"134",-0.440347458838194
"135",-0.433090344263463
"136",-0.431573120287958
"137",-0.430383418181967
"138",-0.446380400560647
"139",-0.448042163090369
"140",-0.455167714639814
"141",-0.449749905556974
"142",-0.448301371148525
"143",-0.464992588937065
"144",-0.446477525192595
"145",-0.459138865925426
"146",-0.458029824002153
"147",-0.461868873560113
"148",-0.462662795752594
"149",-0.476124683579532
"150",-0.464064564612342
"151",-0.47442352225333
"152",-0.467032994504465
"153",-0.469875712360346
"154",-0.473553540544244
"155",-0.479858255467721
"156",-0.482342333212115
"157",-0.471905357985962
"158",-0.482515395949745
"159",-0.495429539122479
"160",-0.498226736756033
"161",-0.494480389996009
"162",-0.507515442103266
"163",-0.505763084676037
"164",-0.499326903791472
"165",-0.514401261388851
"166",-0.515394429507977
"167",-0.511733518229957
"168",-0.507548808237965
"169",-0.49436993222982
"170",-0.497191301941821
"171",-0.497547307710054
"172",-0.50528692377108
"173",-0.495908368271989
"174",-0.51519579585151
"175",-0.513483038968386
"176",-0.514219793937528
"177",-0.51775485055015
"178",-0.511520424583645
"179",-0.511474077319203
"180",-0.522931606176504
"181",-0.521232292111331
"182",-0.515346818662565
"183",-0.518343692783664
"184",-0.51899024769941
"185",-0.520603466962056
"186",-0.520011581941687
"187",-0.522216383025942
"188",-0.522637871045369
"189",-0.520050045455502
"190",-0.514604327494818
"191",-0.525100412012017
"192",-0.514321253506744
"193",-0.516558223587524
"194",-0.526097467905438
"195",-0.528016777162411
"196",-0.528789969433798
