"","x"
"1",-2.04022082852655
"2",-1.21614501311533
"3",-1.15495952997068
"4",-1.1912301190076
"5",-1.17921020242962
"6",-1.19803348399275
"7",-1.22224652185535
"8",-1.186296010553
"9",-1.22607651902655
"10",-1.21603863439006
"11",-1.21940107168081
"12",-1.26958910132734
"13",-1.25100047244339
"14",-1.29730798297181
"15",-1.31735338555251
"16",-1.30126993918095
"17",-1.32221935528684
"18",-1.32387339787885
"19",-1.34296682005043
"20",-1.33455706074244
"21",-1.34256058873007
"22",-1.38145117502156
"23",-1.32574137974467
"24",-1.40401630568173
"25",-1.42214885896008
"26",-1.4005696788123
"27",-1.3274437575613
"28",-1.37851727804446
"29",-1.36515430791249
"30",-1.43515064599412
"31",-1.44968643974292
"32",-1.48862892691141
"33",-1.48805539023134
"34",-1.47129764963475
"35",-1.41369818125786
"36",-1.5286011950146
"37",-1.54557023834422
"38",-1.54169947719781
"39",-1.49809986261684
"40",-1.4691516573627
"41",-1.5875749522196
"42",-1.54773182235184
"43",-1.55717248614566
"44",-1.56931181216044
"45",-1.48911821399822
"46",-1.51528292886209
"47",-1.61576941736018
"48",-1.60655484158043
"49",-1.60594550925035
"50",-1.68264787536333
"51",-1.63395345464453
"52",-1.60924960029843
"53",-1.68281531945959
"54",-1.59454919507238
"55",-1.64847661213427
"56",-1.59112268991526
"57",-1.60164108299152
"58",-1.61921923768985
"59",-1.58605506372487
"60",-1.60848472438969
"61",-1.67231483325209
"62",-1.63906742226696
"63",-1.62563895884348
"64",-1.58811106349251
"65",-1.70608908433999
"66",-1.69316506025358
"67",-1.64043972890775
"68",-1.71092495612383
"69",-1.71956637206443
"70",-1.67399254907739
"71",-1.68955987345667
"72",-1.76860334078022
"73",-1.68469094150634
"74",-1.69373424728791
"75",-1.82490203741762
"76",-1.66675509602634
"77",-1.71647150164743
"78",-1.7286910742365
"79",-1.70361033623715
"80",-1.78946720579297
"81",-1.76854854226385
"82",-1.80037559391635
"83",-1.84034355520848
"84",-1.7399230990026
"85",-1.76917162635743
"86",-1.7005386951321
"87",-1.86025013276607
"88",-1.8803042813311
"89",-1.74570749449746
"90",-1.83856808043901
"91",-1.76587989723519
"92",-1.62008707292515
"93",-1.87218331260809
"94",-1.75671749427363
"95",-1.67813850475265
"96",-1.81581653686475
"97",-1.8016666921337
"98",-1.85179951874939
"99",-1.85399736681333
"100",-1.86670155460107
"101",-1.70015042674056
"102",-1.84915475196314
"103",-1.77578119704051
"104",-1.70196361133568
"105",-1.84348229138025
"106",-1.95634385621904
"107",-1.67261863196147
"108",-1.77313727903099
"109",-1.75080966001989
"110",-1.77265356660059
"111",-1.80288432842413
"112",-1.74778219359223
"113",-1.98799810847077
"114",-1.87254551307411
"115",-1.98733572877049
