"","x"
"1",-1.77195684193188
"2",0.00728670424060737
"3",0.0290584057755418
"4",0.00939681507523999
"5",-0.0110644721420007
"6",0.0615471225837521
"7",0.0306823877870677
"8",0.0275173158578709
"9",-0.00580029238495961
"10",-0.0388611374573569
"11",-0.0228776288148673
"12",-0.0561048953737204
"13",0.0127704688276288
"14",-0.0645647035975658
"15",-0.0278559179650136
"16",0.0413323687523156
"17",-0.0108179881351056
"18",-0.0712580512109096
"19",-0.128898465413217
"20",-0.168085235361425
"21",-0.0842037101762273
"22",-0.238699121588195
"23",-0.0499096681445601
"24",-0.282921597050824
"25",-0.255343330567932
"26",-0.290233595599186
"27",-0.274280827846496
"28",-0.289571400300027
"29",-0.233383020737118
"30",-0.26012702948053
"31",-0.337149594218427
"32",-0.490615090431722
"33",-0.48052722310818
"34",-0.548344626997439
"35",-0.467128839179583
"36",-0.58990169626222
"37",-0.545377387649352
"38",-0.52748782784157
"39",-0.50051068569456
"40",-0.553446554583509
"41",-0.677108886968764
"42",-0.671522975987243
"43",-0.586033652093295
"44",-0.521428498520455
"45",-0.673999820645953
"46",-0.681667546571696
"47",-0.727766030163588
"48",-0.695254230068492
"49",-0.608952635230215
"50",-0.696198338454301
"51",-0.766993010957716
"52",-0.744311440963248
"53",-0.676025717255862
"54",-0.682641877289259
"55",-0.746916781285445
"56",-0.709538412242111
"57",-0.740935032017845
"58",-0.886062497848192
"59",-0.766357205636052
"60",-0.920631646990898
"61",-0.782195014310581
"62",-0.704793808419182
"63",-0.8350120879263
"64",-0.785614085261204
"65",-0.916579302709398
"66",-0.968821802370398
"67",-0.891443203425146
"68",-1.00856639890478
"69",-0.853140575409977
"70",-1.17106538208558
"71",-1.08124722100796
"72",-1.25668791544506
"73",-1.02999540363801
"74",-1.17774594942421
"75",-1.00969666443297
"76",-1.14216087384305
"77",-1.01453024014849
"78",-1.04922625893624
"79",-0.938204953220909
"80",-1.21896602782268
"81",-1.16250156543095
"82",-1.09167689370707
"83",-1.23428036657178
"84",-1.13832749725431
"85",-1.20512910728779
"86",-1.26172159455361
"87",-1.21709621386635
"88",-1.34445767766559
"89",-1.54917633807068
"90",-1.17982140614399
"91",-1.2236598327591
"92",-1.33894880919565
"93",-1.11349832898006
"94",-1.29498045713367
"95",-1.12681771539856
"96",-1.20514453277483
"97",-1.30469745864689
"98",-1.42898304715492
"99",-1.11149006482224
"100",-1.30934649430268
"101",-1.2900085068167
"102",-1.32297057818515
"103",-1.1780110704507
"104",-1.34217238105663
"105",-1.37232401115957
"106",-1.20818488356486
"107",-1.36495675346286
"108",-1.29246088633841
"109",-1.35244642432762
"110",-1.4744502826533
"111",-1.43169619023615
"112",-1.39460697567775
"113",-1.29694741863287
"114",-1.2776405852023
"115",-1.43162608246938
"116",-1.60404401057863
"117",-1.42091058782946
"118",-1.38119901223003
"119",-1.44765638706138
"120",-1.50370064352307
"121",-1.45652073201521
"122",-1.456989816261
"123",-1.49285273108333
"124",-1.47940381780959
"125",-1.50825311783215
"126",-1.45582719478892
"127",-1.48495833349563
"128",-1.56949838806132
"129",-1.49901746046277
"130",-1.47817644101682
"131",-1.51786925814562
"132",-1.60203156652536
"133",-1.64626400324649
"134",-1.39759715808585
"135",-1.45667427279254
"136",-1.56026157712708
"137",-1.47618883672952
"138",-1.56768653139074
"139",-1.5389000325029
"140",-1.67515744912265
"141",-1.59810513491652
"142",-1.61728444787784
"143",-1.37568007039247
"144",-1.68097509952813
"145",-1.6877417544545
"146",-1.62422984936502
"147",-1.65557865189787
"148",-1.65665563956584
"149",-1.76191453785256
"150",-1.88181017389419
"151",-1.73994552753939
"152",-1.79824581413699
"153",-1.74546853735614
"154",-1.70228406310985
"155",-1.93446498274153
"156",-1.68347563175319
"157",-1.71369574685989
"158",-1.73732034289505
"159",-1.69529128631995
"160",-1.71404846345476
"161",-1.75751647228623
"162",-1.65772483283188
"163",-1.90909422154591
"164",-1.67393437214379
"165",-1.79378463931701
"166",-1.86240104130604
"167",-1.87584440765988
"168",-1.83895491365424
"169",-1.81319115256132
"170",-1.83361228426781
"171",-1.81916280985823
"172",-1.80837005038954
"173",-1.84048967431327
"174",-1.80128840731321
"175",-1.90526994461022
"176",-1.86324192653158
"177",-1.81662019449036
"178",-1.87955572525238
"179",-1.90350418447118
"180",-1.95428328880722
"181",-1.91644981535683
"182",-1.95869830148664
"183",-1.9786622191641
"184",-1.89165464427031
"185",-1.99562827452226
"186",-1.86295504571513
"187",-1.84084818137685
"188",-2.06163719976265
"189",-2.03335683740851
"190",-2.20506323011397
"191",-1.9299838886181
"192",-2.01546723914225
"193",-2.03721291953233
"194",-2.04886202193771
"195",-2.09140033895184
"196",-2.02849005654246
"197",-1.99860706618841
"198",-2.13210171427497
"199",-2.09315977787571
"200",-2.06640633633238
"201",-2.07726432270561
"202",-2.10515472045443
"203",-2.08214490238698
"204",-2.14111190883312
"205",-2.0145231639552
"206",-2.11138375410515
"207",-2.07865849048923
"208",-2.00554999676044
"209",-2.05591792123742
"210",-2.11428890209025
"211",-2.12598757630607
"212",-2.13857028861241
"213",-2.18007937142718
"214",-2.10851329200278
"215",-2.00962839481732
"216",-1.96563217171783
"217",-2.15801154751091
"218",-2.00399226183685
"219",-2.05942488807963
"220",-2.08894777369687
"221",-2.14510408227141
"222",-2.15293977269894
"223",-2.10080279019207
"224",-2.16807704850535
"225",-2.13003704150418
"226",-2.16557154235442
"227",-2.19835625571109
"228",-2.12189525208653
"229",-2.1396073453245
"230",-2.07585276502077
"231",-2.06246435102308
"232",-2.10100828515414
"233",-2.11340762261094
"234",-2.19437698494957
"235",-2.2672304209903
"236",-2.0863411206817
"237",-2.14925495921067
"238",-2.07107120663983
"239",-2.07463394751175
"240",-2.11228168602563
"241",-2.07314643281549
"242",-2.14916760127598
"243",-2.03433248076149
"244",-2.05170270607004
"245",-2.10698643877552
"246",-2.21276293346967
"247",-2.10706571212188
"248",-2.22134091893198
"249",-2.04718236054628
"250",-2.01750129633357
"251",-2.08671691477553
"252",-2.02979593055096
"253",-2.02809224448945
"254",-2.01385485017399
"255",-2.09149425762152
"256",-2.09607580800122
"257",-2.08227256709399
"258",-2.07706843738418
"259",-1.9735131597389
"260",-2.0918988598801
"261",-2.10773530471091
"262",-2.05546641676652
"263",-2.11145762302417
"264",-2.0729264102445
"265",-2.12075843136799
"266",-2.06846256485186
"267",-2.0623132373246
"268",-2.14239634403665
"269",-2.15020802356613
"270",-2.07262829513431
"271",-2.08647335360831
"272",-2.11172302472812
"273",-2.0777618191361
"274",-2.1850820538178
"275",-2.13254029029757
"276",-2.17148522653107
"277",-2.27794349609079
"278",-2.17615059048176
"279",-2.28163003541494
"280",-2.23966414119036
"281",-2.09972986231522
"282",-2.21907594467228
"283",-2.2069988742374
"284",-2.23358975427187
"285",-2.20884619123758
"286",-2.15133966355741
"287",-2.14498807697815
"288",-2.25529548005025
"289",-2.19804676141503
"290",-2.12286121997956
"291",-2.20339692054637
"292",-2.18640842676663
"293",-2.22786364191469
"294",-2.26222990060986
"295",-2.19014204614638
"296",-2.16211038486183
"297",-2.14832517456663
"298",-2.18044321367773
"299",-2.21505388402286
"300",-2.20556617509712
"301",-2.18700089349054
"302",-2.2183838245819
"303",-2.18831430438469
"304",-2.28174884678021
"305",-2.21217203792151
"306",-2.22581561324055
"307",-2.24191025676878
"308",-2.24668781785432
"309",-2.1844283781869
"310",-2.27850635376451
"311",-2.21290370523205
"312",-2.28925478930502
"313",-2.21518605443729
"314",-2.172843736705
"315",-2.15267250537546
"316",-2.17111930685717
"317",-2.19270370589993
"318",-2.05581370336097
"319",-2.14606734342923
"320",-2.13844954229239
"321",-2.19339895319438
"322",-2.13822907796944
"323",-2.19493626288845
"324",-2.13619883931693
"325",-2.20201011529665
"326",-2.13357685757462
"327",-2.14034544681827
"328",-2.15016448199976
"329",-2.16247573927347
"330",-2.17914835316796
"331",-2.13593745372046
"332",-2.10602277220424
"333",-2.09189242761605
"334",-2.11853759250771
"335",-2.08543883674624
"336",-2.18740496832331
"337",-2.17063501587705
"338",-2.13868198498942
"339",-2.05747597553153
"340",-2.09550387058333
"341",-2.16393736192374
"342",-2.0959395295912
"343",-2.06546348875666
"344",-2.10952153651604
"345",-2.11633574491383
"346",-2.10620787485015
"347",-2.09861544219735
"348",-2.05694801047131
"349",-2.09173104052934
"350",-2.08297870356072
"351",-2.06992999169703
"352",-2.03832647892002
"353",-2.13745813870108
"354",-2.07100563822493
"355",-2.07913153328093
"356",-2.10273353732574
"357",-2.09947373421649
"358",-2.03483372020651
"359",-2.10191098466541
"360",-2.07902089088171
"361",-2.10770845413738
