"","x"
"1",-2.04022082852655
"2",-1.10960220757002
"3",-1.15890802507237
"4",-1.16555534778092
"5",-1.19397711206182
"6",-1.20131349526194
"7",-1.22230071096503
"8",-1.24526027909552
"9",-1.25476760487383
"10",-1.27520047644374
"11",-1.27795231566299
"12",-1.33452481825707
"13",-1.35741149899565
"14",-1.34009535355546
"15",-1.4397699041681
"16",-1.43831816922403
"17",-1.42015570491628
"18",-1.39251223974
"19",-1.50269468383263
"20",-1.42800310648364
"21",-1.4940663618246
"22",-1.51775053991683
"23",-1.48750345009821
"24",-1.59447730577378
"25",-1.60513609992901
"26",-1.55238164502212
"27",-1.67696899611278
"28",-1.56104495328426
"29",-1.56972374604225
"30",-1.5721255582382
"31",-1.6946745162054
"32",-1.54066844187542
"33",-1.60778256665341
"34",-1.66510528164592
"35",-1.67279712786993
"36",-1.61942781980937
"37",-1.63005007571598
"38",-1.74448071045559
"39",-1.62515747330926
"40",-1.77253262714882
"41",-1.67530297311067
"42",-1.67769479960323
"43",-1.71390884341384
"44",-1.65346152118503
"45",-1.58828881345207
"46",-1.65502000635132
"47",-1.7576301014187
"48",-1.81309404306567
"49",-1.72728126976367
"50",-1.69860843698627
"51",-1.66126846693606
"52",-1.70730169068078
"53",-1.70109061837577
"54",-1.79227270116258
"55",-1.75284405756688
"56",-1.83609080272104
"57",-1.73408062970074
"58",-1.92581852435738
"59",-1.78360106357591
"60",-1.79492217709516
"61",-1.82488887901043
"62",-1.77100933914424
"63",-1.78526485029552
"64",-1.74726566905744
"65",-1.82396246238319
"66",-1.79322468956106
"67",-1.76904878817551
"68",-1.82040676360397
"69",-1.77456441261737
"70",-1.87560047974991
"71",-1.82986331091108
"72",-1.93796258010022
"73",-1.74155098859632
"74",-1.9546169665082
"75",-1.82391669298244
"76",-1.8652112922674
"77",-1.8140090767931
"78",-1.88556694161274
"79",-1.89873920586801
"80",-1.85364894315201
"81",-1.80945692195958
"82",-1.86005420991753
"83",-1.88806329912598
"84",-1.88028245729721
"85",-1.91813224234378
"86",-2.01486721719112
"87",-1.83938039003186
"88",-1.91665101636278
"89",-1.89635130049584
"90",-1.81516425041393
"91",-1.82051151698301
"92",-2.00975687317236
"93",-1.7614759154929
"94",-1.86451491221121
"95",-2.06002991954366
"96",-1.96714611343337
"97",-1.93282192284731
"98",-1.99213390882899
"99",-1.89971244636391
"100",-1.88950456883794
"101",-1.84363282597027
"102",-1.91258104544639
"103",-1.88981554327713
"104",-1.95081145776217
"105",-1.97180317352045
"106",-1.92114213105673
"107",-1.92161605596044
"108",-2.04203223143196
"109",-1.89117252529514
"110",-1.84722269424521
"111",-1.99043954521787
"112",-1.79100990536984
"113",-2.03247202152677
"114",-1.99877885566318
"115",-1.96287409216283
"116",-1.98875805338706
"117",-1.86646803352301
"118",-1.93387483787903
"119",-1.99745789670797
"120",-1.98113093488189
"121",-1.90393152148162
"122",-1.88577409324924
"123",-1.98416645095588
"124",-1.94814562793117
"125",-1.93158808296805
"126",-1.91330198391777
"127",-1.97282401594793
"128",-1.79042941361471
"129",-2.09475328569783
"130",-1.84337997948842
"131",-2.02130391637322
"132",-1.99073648846208
"133",-1.82874144024836
"134",-2.04031121826765
"135",-1.98644845499866
"136",-2.02678224138456
"137",-1.89992960129487
"138",-2.02161905970197
"139",-2.11784342537699
"140",-1.94388165917515
"141",-1.84306572821962
"142",-1.99643197601815
"143",-2.07236068259867
