"","x"
"1",-3.50655789731998
"2",-3.52723957738176
"3",-3.55902259482828
"4",-3.48247099617405
"5",-3.5501633874538
"6",-3.52188807190719
"7",-3.5325658987466
"8",-3.5038894865016
"9",-3.4911114872148
"10",-3.45706393897131
"11",-3.49347913677934
"12",-3.35637093282495
"13",-3.50623490581732
"14",-3.53669065523406
"15",-3.47518928775527
"16",-3.46713596233879
"17",-3.4886141327651
"18",-3.4869059056356
"19",-3.46500077621083
"20",-3.58716268840502
"21",-3.54366443215435
"22",-3.54881954315219
"23",-3.59884996114886
"24",-3.48913343413844
"25",-3.52122731218455
"26",-3.49103419556879
"27",-3.42653896737959
"28",-3.46844087354307
"29",-3.44425792338585
"30",-3.43810550914281
"31",-3.40827593538094
"32",-3.4494571548202
"33",-3.44219464677747
"34",-3.40653492919119
"35",-3.45798081300608
"36",-3.46913886349058
"37",-3.47286996582213
"38",-3.51103642681834
"39",-3.43872511761229
"40",-3.44736628073321
"41",-3.47120021942238
"42",-3.49399581679
"43",-3.46017538503375
"44",-3.47231805184836
"45",-3.45207393702565
"46",-3.55623158973663
"47",-3.50044381900709
"48",-3.50303541818185
"49",-3.53007119268911
"50",-3.48555539551156
"51",-3.51173943533371
"52",-3.53264055244567
"53",-3.55577925918648
"54",-3.50893662325769
"55",-3.47794696860256
"56",-3.5537202357823
"57",-3.52488344777738
"58",-3.54481238875191
"59",-3.55869111587727
"60",-3.46264134504056
"61",-3.47967054456808
"62",-3.50730459655644
"63",-3.53330150585576
"64",-3.55586293254416
"65",-3.48578884403984
"66",-3.41615401561748
"67",-3.47132592677624
"68",-3.46993784699945
"69",-3.53515815462501
"70",-3.54329190569173
"71",-3.5512860825086
"72",-3.46420117530121
"73",-3.53517247897478
"74",-3.45811510103823
"75",-3.47741811349587
"76",-3.45922274993347
"77",-3.46264738833505
"78",-3.4820099401906
"79",-3.45729184886902
"80",-3.50507578003368
"81",-3.45627968093904
"82",-3.50128081754491
"83",-3.44814496153143
"84",-3.45770871504656
"85",-3.5335016742096
"86",-3.45678120090199
"87",-3.48175910183914
"88",-3.471599673294
"89",-3.51726976201951
"90",-3.51799998132984
"91",-3.42763790777221
"92",-3.51769848267299
"93",-3.52143686831073
"94",-3.47832258411823
"95",-3.52007087084601
"96",-3.54419639303322
"97",-3.47862715799761
"98",-3.466833002798
"99",-3.43124718495794
"100",-3.4784581209689
"101",-3.49514649430107
"102",-3.48765299679608
"103",-3.4275729938878
"104",-3.46821673870584
"105",-3.4590712230959
"106",-3.47573411541398
"107",-3.52733567480195
"108",-3.4761636443683
"109",-3.43989363852482
"110",-3.4785979552037
"111",-3.48951452853001
"112",-3.5171386687621
"113",-3.52427150472631
"114",-3.51768742422368
"115",-3.48861958751026
"116",-3.52304326869877
"117",-3.50375037405141
"118",-3.47314521515622
"119",-3.50060347422611
"120",-3.43195233038177
"121",-3.42193645644312
"122",-3.4852850133027
"123",-3.45106056655129
"124",-3.50541915110266
"125",-3.5181936995037
"126",-3.50687561558588
"127",-3.48373230167063
"128",-3.5368395242076
"129",-3.56147101631843
"130",-3.48268244545046
"131",-3.51121843094519
"132",-3.52917684762316
"133",-3.51785123163923
"134",-3.48891955294281
"135",-3.57215231917382
"136",-3.5566273824953
"137",-3.48454618395531
"138",-3.50160570933121
"139",-3.4954930361884
"140",-3.56786407210433
"141",-3.50696595350661
"142",-3.51622987798936
"143",-3.5519951144388
"144",-3.46404779964586
