"","x"
"1",-1.56064774826467
"2",-1.26562501643514
"3",-1.16639127850368
"4",-1.18091979741762
"5",-1.17913626795511
"6",-1.14101282783539
"7",-1.15872090291784
"8",-1.23204343955219
"9",-1.27476617974895
"10",-1.22847859626037
"11",-1.30224501940006
"12",-1.26624195484597
"13",-1.26252665044115
"14",-1.27615690466638
"15",-1.20763878647741
"16",-1.27549888768208
"17",-1.33777820649622
"18",-1.30518448773315
"19",-1.31518207729631
"20",-1.35305806156318
"21",-1.36340489013201
"22",-1.47934651014875
"23",-1.47523922815579
"24",-1.44145061420529
"25",-1.53267674265808
"26",-1.54447169966053
"27",-1.5176147975072
"28",-1.61064785012751
"29",-1.63243565234128
"30",-1.5279474537405
"31",-1.46623962903205
"32",-1.6449560702181
"33",-1.51888514818839
"34",-1.53064823535737
"35",-1.51975242863754
"36",-1.54938053738329
"37",-1.52721589545942
"38",-1.55804747879823
"39",-1.54404273069327
"40",-1.54028499842664
"41",-1.51812561242455
"42",-1.49764909618244
"43",-1.54881169988827
"44",-1.54748595755176
"45",-1.67232994947616
"46",-1.65872314758489
"47",-1.56759494694111
"48",-1.63421795390686
"49",-1.58988743542521
"50",-1.62358588757067
"51",-1.71140407437637
"52",-1.74041387008228
"53",-1.66632624697548
"54",-1.66056679066778
"55",-1.67923879852398
"56",-1.66740396226851
"57",-1.72754918479614
"58",-1.74720999690273
"59",-1.7072160078141
"60",-1.82397951255211
"61",-1.73673099439287
"62",-1.79868507368554
"63",-1.75526964039016
"64",-1.70715495971387
"65",-1.70203146135777
"66",-1.69353854737048
"67",-1.68113871398369
"68",-1.75413757236243
"69",-1.70405361551238
"70",-1.74029389546539
"71",-1.7617702269435
"72",-1.79131560400292
"73",-1.8282319081074
"74",-1.83091099720214
"75",-2.05009939396565
"76",-1.88341755444418
"77",-1.77009761229677
"78",-1.70455099000022
"79",-1.71970022125432
"80",-1.83545182325029
"81",-1.79349453230796
"82",-1.76645201607884
"83",-1.88732429705387
"84",-1.93426821135692
"85",-1.79049591022044
"86",-1.84710605778847
"87",-1.83198226183899
"88",-1.85281188451781
"89",-1.98233496895831
"90",-1.7504784889866
"91",-1.86393069154048
"92",-1.91528767065748
"93",-1.82348584258949
"94",-1.86021803010507
"95",-1.74667208620502
"96",-1.77862348532405
"97",-1.87303761937109
"98",-1.75583967820761
"99",-1.71332738189195
"100",-1.81215995415526
"101",-1.82595616319572
"102",-1.82807060533681
"103",-1.77460147061132
"104",-1.76773137179568
"105",-1.86217661929071
"106",-1.93950427774817
"107",-1.80220674302169
"108",-1.83112325834378
"109",-1.78168653288252
