"","x"
"1",-1.71479842809193
"2",0.00968761201857513
"3",-0.0557177375316214
"4",-0.061779273321165
"5",-0.0392621708508843
"6",-0.0269343654744099
"7",-0.00341648866381816
"8",-0.0577161619043653
"9",-0.037043600838282
"10",-0.041094173372347
"11",-0.0384460778350138
"12",-0.0281093285329665
"13",-0.0217744272890125
"14",-0.0187702745634127
"15",-0.014914319839488
"16",-0.0312556079370529
"17",-0.0345980620830268
"18",-0.0375888343051667
"19",-0.0463688537178529
"20",-0.061597760885811
"21",-0.0615153815494674
"22",-0.0735532073151341
"23",-0.0933964931665876
"24",-0.0989595555735269
"25",-0.095820368798458
"26",-0.0826969776057289
"27",-0.103102430394811
"28",-0.105665115973019
"29",-0.0811862577144216
"30",-0.0799657357257639
"31",-0.17048921102778
"32",-0.088940759003927
"33",-0.152670358307742
"34",-0.169693965261993
"35",-0.120457260009818
"36",-0.160700386026373
"37",-0.0717889328272437
"38",-0.086317782266448
"39",-0.125431992797964
"40",-0.114590513367665
"41",-0.165373619599561
"42",-0.203419436789294
"43",-0.186450449891707
"44",-0.188520187712578
"45",-0.128274114854918
"46",-0.125919052553232
"47",-0.164586201797678
"48",-0.0872482167262813
"49",-0.167365958712421
"50",-0.14633904115049
"51",-0.205426651908081
"52",-0.349732353854522
"53",-0.241516569382223
"54",-0.312671261787413
"55",-0.32926906237806
"56",-0.243850098553561
"57",-0.347957260203407
"58",-0.3120284457446
"59",-0.336800711737365
"60",-0.350403259807575
"61",-0.318781771436055
"62",-0.359238852645203
"63",-0.31870608066195
"64",-0.358480194257373
"65",-0.33545734238749
"66",-0.358604680716015
"67",-0.469105642974593
"68",-0.372210213291743
"69",-0.286825384284136
"70",-0.35082215604681
"71",-0.342892717020516
"72",-0.30570955315259
"73",-0.323433903852178
"74",-0.358394860128654
"75",-0.279378234526187
"76",-0.374154045748943
"77",-0.334482888227139
"78",-0.322867972439405
"79",-0.420643481673635
"80",-0.39802396903682
"81",-0.391464390131434
"82",-0.42967659551022
"83",-0.426876454566159
"84",-0.572078678709868
"85",-0.383362517274033
"86",-0.4817750473735
"87",-0.487672715655517
"88",-0.439143618103213
"89",-0.412933863989926
"90",-0.482907808091636
"91",-0.415213950197683
"92",-0.465074786220971
"93",-0.401509677678838
"94",-0.448177866022819
"95",-0.430308774529472
"96",-0.472510330012328
"97",-0.40624883179978
"98",-0.340323131016776
"99",-0.596081768278239
"100",-0.431809057440213
"101",-0.429413122107188
"102",-0.375357685884764
"103",-0.525029815128262
"104",-0.456000351994763
"105",-0.549660128756029
"106",-0.51899433449082
"107",-0.386171458236501
"108",-0.488935804618064
"109",-0.433746459076022
"110",-0.438436510438774
"111",-0.569916719539532
"112",-0.468096818585178
"113",-0.485146834666942
"114",-0.530419753516954
"115",-0.619991565571194
"116",-0.54346405802479
"117",-0.505361558441866
"118",-0.474555456735959
"119",-0.567126518674585
"120",-0.605231219915788
"121",-0.547152815830758
"122",-0.555077633017121
"123",-0.606155241509199
"124",-0.644621091239042
"125",-0.540090521661661
"126",-0.609326854475643
"127",-0.500381351292708
"128",-0.570387806757904
"129",-0.484682269601721
"130",-0.571590030300276
"131",-0.659465105340191
"132",-0.634067931774242
"133",-0.455099847114017
"134",-0.607200340689723
"135",-0.57197977034541
"136",-0.630894615007025
"137",-0.661564705663007
"138",-0.524767090535418
"139",-0.644287774440852
"140",-0.648525656274567
"141",-0.708924698457148
"142",-0.66744339700786
"143",-0.646160235227004
"144",-0.648133925996799
"145",-0.583778178967469
"146",-0.603613902003457
"147",-0.731517589062013
"148",-0.645997019989503
"149",-0.621015972361994
"150",-0.641814077746358
"151",-0.69030523222599
"152",-0.743911870783075
"153",-0.762730258642916
"154",-0.77216457430242
"155",-0.687739962913517
"156",-0.718888926568768
"157",-0.652700977599617
"158",-0.740370112637718
"159",-0.655081328628696
"160",-0.679087168562963
"161",-0.638582517627908
"162",-0.698065018470947
"163",-0.659186777457403
"164",-0.689898992966503
"165",-0.680542613898472
"166",-0.7830351682804
"167",-0.7638025318545
"168",-0.785228042514842
"169",-0.783650065833695
"170",-0.739985086304422
"171",-0.830817799444448
"172",-0.775236478766182
"173",-0.766368438083971
"174",-0.861344480918912
"175",-0.892159003035455
"176",-0.80372813840112
"177",-0.809241613613499
"178",-0.877491235859824
"179",-0.815565931856715
"180",-0.878482972244436
"181",-0.868109799621193
"182",-0.866018650361734
"183",-0.847257291834487
"184",-0.98496105439679
"185",-0.900401860901471
"186",-0.916806831206677
"187",-0.932622614496201
"188",-0.868849215227145
"189",-0.940408302228471
"190",-0.879431799052838
"191",-0.895011834361795
"192",-0.92279145394163
"193",-0.832681078106624
"194",-0.899740363783991
"195",-0.88818767463608
"196",-0.89261384414642
"197",-0.979394365681645
"198",-0.918041779976481
"199",-0.860936190072359
"200",-1.02139565960766
"201",-0.907768652583393
"202",-0.94329050733792
"203",-0.966105674479798
"204",-0.959457825512876
"205",-0.910425154842017
"206",-0.953270772295813
"207",-0.824850157937924
"208",-0.980614298510419
"209",-0.93867370691004
"210",-0.892247153146854
"211",-0.933294279660201
"212",-0.823917466716057
"213",-0.872679103408695
"214",-0.88000147613907
"215",-0.915439194965843
"216",-0.913378285753019
"217",-0.874670192301709
"218",-0.892113942418696
"219",-0.973704019190533
"220",-0.935088348119838
"221",-0.88972721847915
"222",-0.855257637643948
"223",-0.941574752328186
"224",-0.912959381542845
"225",-0.962623384040909
"226",-0.992593723638397
"227",-0.903823471691416
"228",-0.945419241059859
"229",-0.928983926663701
"230",-0.890703817410744
"231",-1.00420065130358
"232",-0.960722717215728
"233",-1.04641435292152
"234",-1.06706899730892
"235",-0.949336791823716
"236",-1.03130235607492
"237",-1.00624574218239
"238",-0.923402653020012
"239",-1.0148095904488
"240",-0.963673739721772
"241",-0.986132953181878
"242",-0.903443930031223
"243",-0.911256878282936
"244",-1.06395276460921
"245",-1.05396798856819
"246",-1.01000105878989
"247",-0.987605858295182
"248",-0.978117229944196
"249",-0.978093940576929
"250",-0.961744265080774
"251",-0.993990328506184
"252",-1.02566555161004
"253",-0.989121522503139
"254",-1.03426709697538
"255",-1.01088975015386
"256",-1.05970693146868
"257",-0.963770792937117
"258",-1.01319348913879
"259",-0.99939368672624
"260",-0.965327978980724
