"","x"
"1",-1.89711998488588
"2",-1.32387626394384
"3",-1.17543129353995
"4",-1.20003309913718
"5",-1.31456162315964
"6",-1.22589203505042
"7",-1.25329108556672
"8",-1.31489675941156
"9",-1.32724147290656
"10",-1.33872999208919
"11",-1.36206080349951
"12",-1.30254649925003
"13",-1.36913285335033
"14",-1.32638049904021
"15",-1.40206486827076
"16",-1.41180506200813
"17",-1.47141576833946
"18",-1.41525098172879
"19",-1.42556483292705
"20",-1.47557275893568
"21",-1.47755660998052
"22",-1.49476787386485
"23",-1.45298282970121
"24",-1.47274949741979
"25",-1.44295557856805
"26",-1.46187850190581
"27",-1.43734441252556
"28",-1.49670684563489
"29",-1.53743263711002
"30",-1.48261188750137
"31",-1.51334637758214
"32",-1.54970967277684
"33",-1.45697940709462
"34",-1.52244300043944
"35",-1.57738927647275
"36",-1.51999768495179
"37",-1.5871150204015
"38",-1.52465221516397
"39",-1.61535779132197
"40",-1.50514777106129
"41",-1.62500764085809
"42",-1.47253301069748
"43",-1.60332456501795
"44",-1.56291047040062
"45",-1.56171395811525
"46",-1.61656346506626
"47",-1.63303316408506
"48",-1.68928084557977
"49",-1.67585240367046
"50",-1.68439454033618
"51",-1.68037586976498
"52",-1.55070026572248
"53",-1.72933819083143
"54",-1.80344923489195
"55",-1.74456651548126
"56",-1.67138657172493
"57",-1.77116123998574
"58",-1.77789593985269
"59",-1.71403488962389
"60",-1.75220599851634
"61",-1.63988107507813
"62",-1.85501417799996
"63",-1.65902908264556
"64",-1.7471031994737
"65",-1.83420261545945
"66",-1.80531605621147
"67",-1.71996184807318
"68",-1.79822693877299
"69",-1.6678673369957
"70",-1.88529495235124
"71",-1.77561634634945
"72",-1.68431360499654
"73",-1.78521091555716
"74",-1.79401511939839
"75",-1.83910773011235
"76",-1.86757356351052
"77",-1.76279680029259
"78",-1.80445416111602
"79",-1.80589930415638
"80",-1.87471502634228
"81",-1.81115821756838
"82",-1.76215200052645
"83",-1.86507736166802
"84",-1.79327841659582
"85",-1.83037711520689
"86",-1.8484901436402
"87",-1.78916993918713
"88",-1.81745711965133
"89",-1.91132251765597
"90",-1.77230605862057
"91",-1.74949863877941
"92",-1.59928479224684
"93",-1.90079310632092
"94",-1.89375220862376
"95",-1.84112199162598
"96",-1.83569594945464
"97",-1.86121969696357
"98",-1.90288913370629
"99",-1.79100524176502
"100",-1.75909752734618
"101",-1.79950329571643
"102",-1.73883342485606
"103",-1.76099996756416
"104",-1.78417902492255
"105",-1.68342364125298
"106",-1.86954382979368
"107",-1.83399576233857
"108",-1.79747715326385
"109",-1.82500691005811
"110",-1.80224137434355
"111",-1.8625447386947
"112",-1.78461663883245
"113",-1.84646658339048
"114",-1.81708411315877
"115",-1.80959130922804
"116",-1.7880880734321
"117",-1.82568796404828
"118",-1.87443851252829
"119",-1.78301580552346
"120",-1.97162927460941
"121",-1.95388767255195
"122",-1.90187604826061
"123",-1.74103254040218
"124",-1.7641696331697
"125",-1.83449971989717
"126",-1.87396847771254
"127",-1.93826940501435
"128",-1.88873149428955
"129",-1.91320372030366
"130",-1.84404398074053
"131",-1.88110139333858
"132",-1.8251892660614
"133",-1.82462329047907
"134",-1.77863162278361
"135",-1.95933004908633
"136",-1.8953511250313
"137",-1.90434328743465
"138",-2.01175801216575
"139",-1.83962920302736
"140",-1.77035784500547
"141",-1.77328946001241
"142",-1.88766611880931
"143",-1.85039025754624
"144",-1.88840262274895
"145",-2.05307670937521
"146",-1.91449443003201
"147",-1.96480167425931
"148",-1.92676144648887
"149",-1.90455922751012
"150",-1.93144284254617
"151",-1.89079949441197
"152",-1.85660925994356
"153",-1.96888153641918
"154",-1.94160320659537
"155",-1.95431233464876
"156",-1.99025788451679
"157",-1.65291910751387
"158",-2.04647439056819
"159",-1.94191375161445
"160",-1.82606498913589
"161",-1.86130780541822
"162",-1.88880939818879
"163",-1.79237252772746
"164",-1.88393933907188
"165",-1.8959727941105
"166",-1.90995325623071
"167",-1.82932781934102
"168",-1.80399125332893
"169",-1.90055708127354
"170",-1.82245179500945
"171",-1.91170769974891
"172",-1.82579030740562
"173",-1.9294398023886
"174",-1.85055765135605
"175",-1.89572507421974
"176",-1.9170832260927
"177",-1.67523622007287
"178",-1.73162514030096
"179",-1.75609549721915
"180",-1.77947169494746
"181",-1.82055798420414
"182",-1.82765737941971
"183",-1.76839796735895
"184",-1.87629835594925
"185",-1.85217049595586
"186",-1.85544078832545
"187",-1.74483806654236
"188",-1.80972980481498
"189",-1.90051781048619
"190",-1.88244297583199
"191",-2.04579408415643
"192",-1.90723068701752
"193",-1.89626647008562
"194",-2.0177971343637
"195",-1.7550935054026
"196",-1.94165167677874
"197",-1.82570630581647
"198",-1.92892580329906
"199",-1.94446388810239
"200",-2.04125502177771
"201",-1.96308748240639
"202",-1.80422500248302
"203",-1.71183435949436
"204",-2.17715290549283
"205",-1.77184522884923
"206",-1.65911312407807
"207",-2.09965661291014
"208",-1.94523241733491
"209",-2.14900913485697
"210",-1.95897666231149
"211",-1.88239263477452
"212",-1.98294892925898
"213",-1.91927109438662
"214",-1.98308764438874
"215",-1.76369962142325
"216",-1.85490254737005
"217",-1.80570466216921
"218",-1.89788582450943
"219",-1.905609075768
"220",-1.77403951168579
"221",-1.80886614744385
"222",-1.90478747374195
"223",-1.85805918696973
"224",-1.89903249402235
"225",-1.84638365902375
"226",-1.8466743032018
"227",-1.8868064829689
"228",-1.84596283346763
"229",-1.80847388329915
"230",-1.97314852212107
"231",-1.96322526226714
"232",-1.84936274299954
"233",-2.00165927910208
"234",-1.90581765251057
"235",-1.8293633647989
"236",-1.8312933598137
"237",-1.85195651319032
"238",-1.87793976233597
"239",-1.78812912117137
"240",-1.89868641458033
"241",-1.73959305053302
"242",-1.91081032958723
"243",-1.79263282822453
"244",-1.86377822097156
"245",-1.95860330196077
"246",-1.84133163753876
"247",-1.66992296372217
"248",-1.73263609609508
"249",-1.88135821985811
"250",-1.8401759489641
"251",-1.98124043583311
"252",-1.91020337979638
"253",-1.87635273541701
"254",-1.92265552466692
"255",-1.78938875763287
"256",-1.77262677650573
"257",-1.86736378080427
"258",-2.00101484518534
"259",-1.96306046038411
"260",-1.80370205438517
"261",-1.96443134329032
"262",-1.87925778048601
"263",-1.81713298932814
"264",-2.01250295551678
"265",-1.68561190299402
"266",-1.96671328045364
"267",-1.81613657168115
"268",-1.9226303220927
"269",-1.81941293603857
"270",-1.81518483165702
"271",-1.77519064402029
"272",-1.81460767279725
"273",-1.867114216689
"274",-1.88748879109691
"275",-1.7145331895514
"276",-1.93665630790219
"277",-1.99227139336484
"278",-1.73934248020927
"279",-1.85256738606938
"280",-1.7249701650535
"281",-1.8463235903989
"282",-1.72029787770857
"283",-1.88346126899577
"284",-2.01273650496561
"285",-1.79077329405322
"286",-1.84092520523009
"287",-1.90322048251196
"288",-1.93092438204603
"289",-1.82610432234052
"290",-2.0086336793952
"291",-1.85774398571283
"292",-1.94235674715588
"293",-1.89912250067263
"294",-1.94873246193131
"295",-1.92294914188675
"296",-1.84600066858448
"297",-1.84931863315412
"298",-1.98251031348045
"299",-1.94374064417739
"300",-2.02283060160495
"301",-1.86790267325071
"302",-1.81379012885912
"303",-1.97877116238743
"304",-1.90778340188199
"305",-1.77448450444828
"306",-1.90513917639349
"307",-1.8932403668405
"308",-1.82165762379999
"309",-1.96932491021432
"310",-1.84664194908477
"311",-1.94203804338005
