"","x"
"1",-2.04022082852655
"2",-0.0169856299534161
"3",0.00593300199373658
"4",0.00148341223076929
"5",0.00474851284762802
"6",-0.0200852000393754
"7",-0.00245179953103828
"8",0.00962011116274084
"9",0.0190202732241241
"10",-0.0385556019301202
"11",-0.00453505827169418
"12",-0.0115357757678063
"13",-0.0548757588897346
"14",-0.0196198184512944
"15",0.0138494523655756
"16",-0.027573668296483
"17",-0.0301658895883338
"18",-0.0602171390168363
"19",-0.0569411294224651
"20",-0.0670320609093011
"21",-0.153700530086523
"22",-0.097808691551681
"23",-0.139182802892333
"24",-0.0767907509655288
"25",-0.142882895157851
"26",-0.125365990020857
"27",-0.104415034095402
"28",-0.145829425137732
"29",-0.0894492276036427
"30",-0.125461956987828
"31",-0.186124139065121
"32",-0.18204082668672
"33",-0.148344597881293
"34",-0.232625283051576
"35",-0.203781973724867
"36",-0.226779073536277
"37",-0.222645022880128
"38",-0.293822517740691
"39",-0.251228346022419
"40",-0.286548113102071
"41",-0.252806025887757
"42",-0.376487057994347
"43",-0.24065784136397
"44",-0.357711333752788
"45",-0.41218094148693
"46",-0.327142807339551
"47",-0.383471035784492
"48",-0.371285828383249
"49",-0.418274882916963
"50",-0.441612041438713
"51",-0.387016188035476
"52",-0.442840023391413
"53",-0.455404835347658
"54",-0.402741989301583
"55",-0.500125932577283
"56",-0.440096063355298
"57",-0.548558862051204
"58",-0.640783128163576
"59",-0.468467744315073
"60",-0.546687056951346
"61",-0.556413857871614
"62",-0.554348674351057
"63",-0.602250222355297
"64",-0.637317065557587
"65",-0.537252434131457
"66",-0.632147593874232
"67",-0.634486377911864
"68",-0.656363270339193
"69",-0.666854701480169
"70",-0.598912538058051
"71",-0.656531289937915
"72",-0.702243278249603
"73",-0.693106379515806
"74",-0.699966960824379
"75",-0.776627595373189
"76",-0.757915208523926
"77",-0.750905844983581
"78",-0.762146018427326
"79",-0.775135097056815
"80",-0.832963159154783
"81",-0.793333452865384
"82",-0.784061922684416
"83",-0.856499838446742
"84",-0.796225932114424
"85",-0.845319752140515
"86",-0.890111533887237
"87",-0.883755591159839
"88",-0.926971867601505
"89",-0.949429275446986
"90",-0.866768511815371
"91",-0.898907919427159
"92",-0.933662592801539
"93",-0.98847211253896
"94",-0.888585746570098
"95",-1.01625313800392
"96",-0.935223775570855
"97",-0.963357477134025
"98",-1.03834074627503
"99",-1.12506291902553
"100",-1.02427127408905
"101",-0.955921768333903
"102",-1.03957678401371
"103",-0.987473373563193
"104",-1.05635040863536
"105",-1.12420344485168
"106",-1.20507627478524
"107",-0.996959424844846
"108",-1.14221260234889
"109",-1.04446478626296
"110",-1.16360740653283
